Bil,Peringkat Sekolah,PPD,Kod Sekolah,NamaSekolah,AlamatSurat,PoskodSurat,BandarSurat,Negeri,NoTelefon,NoFax
9582,Rendah,PPD SARIKEI,YBC6107,SJK(C) KIEW MANG,D/A PEJABAT PENDIDIKAN DAERAH SARIKEI,96100,SARIKEI,SARAWAK,TIADA,TIADA
9583,Rendah,PPD SARIKEI,YBC6108,SJK(C) HUA KEE,D/A PEJABAT PENDIDIKAN DAERAH SARIKEI,96100,SARIKEI,SARAWAK,TIADA,TIADA
9584,Rendah,PPD SARIKEI,YBC6109,SJK(C) HUA NAM,D/A PEJABAT PELAJARAN DAERAH SARIKEI,96100,SARIKEI,SARAWAK,TIADA,TIADA
9585,Rendah,PPD DARO,YBC6401,SK CAMPORAN,D/A PEJABAT PELAJARAN DAERAH DARO,96200,DARO,SARAWAK,084823299,084823299
9586,Rendah,PPD SERIAN,YBC8201,SJK(C) SG MENYAN,D/A PEJABAT PELAJARAN DAERAH SERIAN,94700,SERIAN,SARAWAK,082895113,TIADA
9587,Rendah,PPD SERIAN,YBC8202,SJK(C) PANGKALAN BEDUP,"BATU 7, JALAN SERIAN/SRI AMAN",94700,SERIAN,SARAWAK,082870472,082870472
9588,Rendah,PPD BINTULU,YBC9101,SJK(C) SEBIEW CHINESE,"D/A, PEJABAT PELAJARAN GABUNGAN BINTULU",97000,BINTULU,SARAWAK,086333681,086333681
9589,Rendah,PPD BINTULU,YBC9102,SEKOLAH JENIS KEBANGSAAN (CINA) KAI MING,"SJK (C) KAI MING, JALAN BINTULU TATAU",97012,BINTULU,SARAWAK,0168780001,
9590,Rendah,PPD BAU,YBE1101,SK PODAM,"SK PODAM, D/A PEJABAT PENDIDIKAN DAERAH BAU",94000,BAU,SARAWAK,TIADA,TIADA
9591,Rendah,PPD BAU,YBE1102,SK STASS,D/A PEJABAT PELAJARAN DAERAH BAU,94000,BAU,SARAWAK,TIADA,TIADA
9592,Rendah,PPD BAU,YBE1103,SK SERASOT,D/A PEJABAT PENDIDIKAN DAERAH BAU,94000,BAU,SARAWAK,0128889306,TIADA
9593,Rendah,PPD KUCHING,YBE1202,SK LUMBA KUDA,D/A PEJ  PEL GAB KCH JLN DIPLOMATIK OFF JLN BAKO,93050,KUCHING,SARAWAK,082257100,082257152
9594,Rendah,PPD KUCHING,YBE1203,SK COMBINED,"D/A PEJ.PEL.GAB.KCH, JLN DIPLOMATIK, OFF JLN BAKO",93050,KUCHING,SARAWAK,082240580,082240580
9595,Rendah,PPD KUCHING,YBE1301,SK BUNTAL,"D/A PEJ.PEL.GAB.KCH,JLN DIPLOMATIK OFF JLN BAKO",93050,KUCHING,SARAWAK,082846015,082846169
9596,Rendah,PPD KUCHING,YBE1304,SK BAKO,"D/A PEJABAT PENDIDIKAN DAERAH KCH, JLN. DIPLOMATIK ",93050,KUCHING,SARAWAK,082431075,082431071
9597,Rendah,PPD PADAWAN,YBE1308,SK LANDEH,"D/A PPDK PADAWAN, LORONG 17, OFF JALAN KAPOR, SG M",93150,KUCHING,SARAWAK,082380876,TIADA
9598,Rendah,PPD KUCHING,YBE1313,SK PAJAR SEJINGKAT,"D/A: PEJ. PEL.GAB KCH,JLN DIPLOMATIK OFF JLN BAKO",93050,KUCHING,SARAWAK,082432572,082432063
9599,Rendah,PPD PADAWAN,YBE1321,SK STAPOK,"D/A PPDK PADAWAN, LORONG 17, OFF JALAN KAPOR",93150,KUCHING,SARAWAK,082681233,082682589
9600,Rendah,PPD KUCHING,YBE1324,SK KPG SENARI,"D/A PEJ.PEL.DAERAH.KCH, JALAN DIPLOMATIK, OFF JLN BAKO, PETRA JAYA",93050,KUCHING,SARAWAK,082439877,082439877
9601,Rendah,PPD SAMARAHAN,YBE1327,SK BELIONG,"D/A PPD SAMARAHAN, JLN DATO MOHD MUSA, KOTA SAMARA",94300,ASAJAYA,SARAWAK,6082376414,TIADA
9602,Rendah,PPD PADAWAN,YBE1341,SK BINYU,"D/A PPD PADAWAN, LORONG 17, OFF JALAN KAPOR",93150,KUCHING,SARAWAK,0145841866,TIADA
9603,Rendah,PPD PADAWAN,YBE1342,SK JALAN HAJI BAKI,"D/A PPDK PADAWAN, LORONG 17 OFF JALAN KAPOR",93150,KUCHING,SARAWAK,082612450,082612450
9604,Rendah,PPD KUCHING,YBE1345,SK MATU BARU,"D/A PEJ.PEL.GAB KCH,JLN DIPLOMATIK OFF JLN BAKO",93050,KUCHING,SARAWAK,082370030,
